Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
January,157156432.2925715,16447860.86399994,16447860.86399994,140708571.42857108,4245931445.248884,4245931445.248884,157156432.2925715,16447860.86399994,16447860.86399994,140708571.42857108,4245931445.248884,4245931445.248884 
July,273142760.1523421,15825613.779745983,15825613.779745983,257317146.37259662,0.0,0.0,273142760.1523421,15825613.779745983,15825613.779745983,257317146.37259662,0.0,0.0 
